Timestamp,Year,Gender,Branch,What should be the ideal length of the movie that you generally prefer?,Which movie genre do you prefer the most?,Does the lead Actor/Actress in the movie matters whether you will watch the movie?,Which industry's movies do you generally enjoy watching?,Are you a documentary or web series guy?,Where do you like to watch a movie or web series?,Do you enjoy watching older movies or only recently released movies?
1/11/2025 7:35:45,Other,Female,ECE,2 to 3 hrs,Comedy,Sometimes :|,Tollywood,Web Series (ofc),Mobile/ Laptop,Anything works ( Chill guy)
1/11/2025 7:54:52,1st year,Male,EE,2 to 3 hrs,Sci-Fi,Sometimes :|,Don't care ( I am just a chill guy),Web Series (ofc),Mobile/ Laptop,Anything works ( Chill guy)
1/11/2025 8:05:02,2nd year,Male,DSAI,2 to 3 hrs,Comedy,Sometimes :|,Hollywood,,Mobile/ Laptop,Anything works ( Chill guy)
1/11/2025 8:06:03,3rd year,Male,CSE,1 to 2 hrs,Sci-Fi,No,Hollywood,Web Series (ofc),Mobile/ Laptop,Anything works ( Chill guy)
1/11/2025 8:08:40,1st year,Female,ECE,2 to 3 hrs,Comedy,Yes,Bollywood,Web Series (ofc),Television,Anything works ( Chill guy)
1/11/2025 8:09:58,Other,Male,DSAI,1 to 2 hrs,Comedy,Yes,Don't care ( I am just a chill guy),Web Series (ofc),Mobile/ Laptop,Anything works ( Chill guy)
1/11/2025 8:13:07,2nd year,Female,DSAI,1 to 2 hrs,Comedy,Sometimes :|,Bollywood,Web Series (ofc),Mobile/ Laptop,Anything works ( Chill guy)
1/11/2025 8:16:13,Other,Male,DSAI,2 to 3 hrs,Other,Yes,Tollywood,Web Series (ofc),Mobile/ Laptop,Anything works ( Chill guy)
1/11/2025 8:16:42,1st year,Male,DSAI,1 to 2 hrs,Comedy,Sometimes :|,Don't care ( I am just a chill guy),Web Series (ofc),Mobile/ Laptop,Anything works ( Chill guy)
1/11/2025 8:25:43,4th year,Male,CSE,2 to 3 hrs,Sci-Fi,No,Don't care ( I am just a chill guy),Web Series (ofc),Mobile/ Laptop,Anything works ( Chill guy)
1/11/2025 8:25:54,1st year,Male,MT,1 to 2 hrs,Sci-Fi,Sometimes :|,Don't care ( I am just a chill guy),Documentary,Mobile/ Laptop,Anything works ( Chill guy)
1/11/2025 8:28:52,4th year,Male,DSAI,1 to 2 hrs,Comedy,Sometimes :|,Don't care ( I am just a chill guy),Web Series (ofc),Mobile/ Laptop,Anything works ( Chill guy)
1/11/2025 8:29:11,2nd year,Male,EE,1 to 2 hrs,Action,Sometimes :|,Don't care ( I am just a chill guy),Web Series (ofc),Theatre,Old Gen movies
1/11/2025 8:34:40,1st year,Female,CSE,< 1 hr,Comedy,Sometimes :|,Bollywood,Web Series (ofc),Theatre,Old Gen movies
1/11/2025 8:35:19,1st year,Female,DSAI,1 to 2 hrs,Comedy,Sometimes :|,Hollywood,Web Series (ofc),Mobile/ Laptop,Anything works ( Chill guy)
1/11/2025 8:36:12,1st year,Female,MT,2 to 3 hrs,Romance,Sometimes :|,Bollywood,Web Series (ofc),Theatre,Anything works ( Chill guy)
1/11/2025 8:38:37,1st year,Male,ME,2 to 3 hrs,Action,Sometimes :|,Hollywood,Web Series (ofc),Mobile/ Laptop,Anything works ( Chill guy)
1/11/2025 8:40:21,4th year,Male,ME,2 to 3 hrs,Action,Yes,Bollywood,Web Series (ofc),Mobile/ Laptop,New movies only
1/11/2025 8:42:55,1st year,Female,CSE,2 to 3 hrs,Comedy,Yes,Bollywood,Documentary,Mobile/ Laptop,Old Gen movies
1/11/2025 8:52:12,1st year,Male,ME,2 to 3 hrs,Comedy,Yes,Bollywood,Web Series (ofc),Theatre,Anything works ( Chill guy)
1/11/2025 8:56:28,2nd year,Female,MT,1 to 2 hrs,Romance,Sometimes :|,Tollywood,Web Series (ofc),Mobile/ Laptop,Anything works ( Chill guy)
1/11/2025 9:07:52,1st year,Male,ECE,1 to 2 hrs,Comedy,Sometimes :|,Don't care ( I am just a chill guy),Web Series (ofc),Mobile/ Laptop,New movies only
1/11/2025 9:11:22,1st year,Female,ECE,2 to 3 hrs,Sci-Fi,No,Don't care ( I am just a chill guy),Documentary,Mobile/ Laptop,Anything works ( Chill guy)
1/11/2025 9:12:00,1st year,Male,DSAI,2 to 3 hrs,Action,Yes,Bollywood,Documentary,Theatre,Anything works ( Chill guy)
1/11/2025 9:12:29,Other,Female,CSE,1 to 2 hrs,Comedy,Sometimes :|,Bollywood,Documentary,Mobile/ Laptop,Old Gen movies
1/11/2025 9:18:27,1st year,Male,EE,2 to 3 hrs,Sci-Fi,Sometimes :|,Hollywood,Web Series (ofc),Mobile/ Laptop,Anything works ( Chill guy)
1/11/2025 9:27:42,2nd year,Male,EE,2 to 3 hrs,Romance,Yes,Tollywood,Documentary,Television,Anything works ( Chill guy)
1/11/2025 9:29:25,1st year,Male,MT,2 to 3 hrs,Action,Yes,Hollywood,Web Series (ofc),Mobile/ Laptop,Anything works ( Chill guy)
1/11/2025 9:34:37,2nd year,Male,DSAI,1 to 2 hrs,Sci-Fi,Sometimes :|,Don't care ( I am just a chill guy),Web Series (ofc),Mobile/ Laptop,Anything works ( Chill guy)
1/11/2025 9:45:04,4th year,Female,CSE,1 to 2 hrs,Comedy,Sometimes :|,Don't care ( I am just a chill guy),Web Series (ofc),Mobile/ Laptop,Anything works ( Chill guy)
1/11/2025 9:46:33,1st year,Male,ECE,2 to 3 hrs,Comedy,No,Hollywood,Web Series (ofc),Theatre,Anything works ( Chill guy)
1/11/2025 9:54:16,2nd year,Female,EE,2 to 3 hrs,Comedy,,Don't care ( I am just a chill guy),Web Series (ofc),Mobile/ Laptop,Anything works ( Chill guy)
1/11/2025 10:05:33,1st year,Female,ME,1 to 2 hrs,Action,Sometimes :|,Anime,Web Series (ofc),Mobile/ Laptop,Anything works ( Chill guy)
1/11/2025 10:08:42,2nd year,Male,ME,2 to 3 hrs,Sci-Fi,No,Hollywood,Web Series (ofc),Mobile/ Laptop,Anything works ( Chill guy)
1/11/2025 10:11:46,Other,Male,other,2 to 3 hrs,Comedy,Sometimes :|,Don't care ( I am just a chill guy),Web Series (ofc),Mobile/ Laptop,Anything works ( Chill guy)
1/11/2025 10:27:24,1st year,Male,ME,2 to 3 hrs,Comedy,No,Hollywood,Web Series (ofc),Mobile/ Laptop,Anything works ( Chill guy)
1/11/2025 10:31:29,2nd year,Male,EE,2 to 3 hrs,Action,Sometimes :|,Bollywood,Web Series (ofc),Mobile/ Laptop,Anything works ( Chill guy)
1/11/2025 10:37:12,4th year,Female,DSAI,1 to 2 hrs,Horror,Sometimes :|,Don't care ( I am just a chill guy),Documentary,Mobile/ Laptop,Anything works ( Chill guy)
1/11/2025 10:40:11,3rd year,Male,CSE,1 to 2 hrs,Comedy,No,Don't care ( I am just a chill guy),Documentary,Theatre,Anything works ( Chill guy)
1/11/2025 10:42:44,1st year,Male,CSE,,Comedy,Sometimes :|,Tollywood,Web Series (ofc),Television,Anything works ( Chill guy)
1/11/2025 10:42:56,2nd year,Female,CSE,2 to 3 hrs,Sci-Fi,Yes,Don't care ( I am just a chill guy),Web Series (ofc),Mobile/ Laptop,Anything works ( Chill guy)
1/11/2025 10:43:36,2nd year,Female,CSE,1 to 2 hrs,Comedy,Yes,Bollywood,Documentary,Television,Anything works ( Chill guy)
1/11/2025 10:44:18,2nd year,Female,DSAI,1 to 2 hrs,Romance,Yes,Don't care ( I am just a chill guy),Web Series (ofc),Mobile/ Laptop,Old Gen movies
1/11/2025 10:50:49,2nd year,Male,EE,2 to 3 hrs,Action,No,Tollywood,Web Series (ofc),Theatre,Anything works ( Chill guy)
1/11/2025 10:51:55,4th year,Female,CSE,2 to 3 hrs,Other,Sometimes :|,Bollywood,Web Series (ofc),Mobile/ Laptop,Anything works ( Chill guy)
1/11/2025 10:52:33,1st year,Male,CSE,2 to 3 hrs,Sci-Fi,No,Don't care ( I am just a chill guy),Documentary,Mobile/ Laptop,Anything works ( Chill guy)
1/11/2025 11:04:57,4th year,Female,DSAI,2 to 3 hrs,Romance,Sometimes :|,Bollywood,Web Series (ofc),Mobile/ Laptop,Anything works ( Chill guy)
1/11/2025 11:11:42,1st year,Male,DSAI,2 to 3 hrs,Action,Sometimes :|,Don't care ( I am just a chill guy),Web Series (ofc),Mobile/ Laptop,Anything works ( Chill guy)
1/11/2025 11:34:18,4th year,Male,ME,1 to 2 hrs,Horror,Yes,Hollywood,Web Series (ofc),Television,Anything works ( Chill guy)
1/11/2025 11:38:52,1st year,Male,EE,2 to 3 hrs,Sci-Fi,Sometimes :|,Hollywood,,Mobile/ Laptop,Anything works ( Chill guy)
1/11/2025 11:39:19,1st year,Male,CSE,1 to 2 hrs,Sci-Fi,No,Anime,Documentary,Television,New movies only
1/11/2025 11:44:52,1st year,Male,MT,2 to 3 hrs,Action,Sometimes :|,Don't care ( I am just a chill guy),Web Series (ofc),Mobile/ Laptop,Anything works ( Chill guy)
1/11/2025 12:01:29,3rd year,Male,EE,2 to 3 hrs,Action,Sometimes :|,Hollywood,Web Series (ofc),Mobile/ Laptop,Anything works ( Chill guy)
1/11/2025 12:03:37,2nd year,Male,CSE,2 to 3 hrs,Action,Yes,Tollywood,Documentary,Theatre,New movies only
1/11/2025 12:05:04,2nd year,Male,EE,2 to 3 hrs,Comedy,Sometimes :|,Tollywood,Documentary,Theatre,New movies only
1/11/2025 12:30:35,2nd year,Male,EE,2 to 3 hrs,Horror,Sometimes :|,Don't care ( I am just a chill guy),Web Series (ofc),Mobile/ Laptop,Anything works ( Chill guy)
1/11/2025 12:46:46,1st year,Female,DSAI,2 to 3 hrs,Sci-Fi,Sometimes :|,Don't care ( I am just a chill guy),Web Series (ofc),Mobile/ Laptop,Anything works ( Chill guy)
1/11/2025 12:48:50,2nd year,Female,CSE,1 to 2 hrs,Other,Sometimes :|,Bollywood,Web Series (ofc),Mobile/ Laptop,Anything works ( Chill guy)
1/11/2025 14:14:31,2nd year,Male,EE,2 to 3 hrs,Other,Sometimes :|,Hollywood,Web Series (ofc),Mobile/ Laptop,Anything works ( Chill guy)
1/11/2025 14:23:06,2nd year,Male,DSAI,1 to 2 hrs,Comedy,Sometimes :|,Bollywood,Web Series (ofc),Theatre,Anything works ( Chill guy)
1/11/2025 14:32:32,4th year,Male,EE,2 to 3 hrs,Sci-Fi,Sometimes :|,Don't care ( I am just a chill guy),Web Series (ofc),Mobile/ Laptop,Anything works ( Chill guy)
